Network,m,beta,mu,extinction_time,peak_time,peak_size,max_R_mean
BA-200,0,0.08,0.1,71.01 +/- 14.71,13.60 +/- 4.28,60.24 +/- 10.00,0.749695
BA-200,1,0.08,0.1,70.67 +/- 12.82,13.38 +/- 4.06,61.07 +/- 10.61,0.756305
BA-200,2,0.08,0.1,71.64 +/- 14.13,13.61 +/- 4.14,60.72 +/- 10.52,0.758275
BA-200,3,0.08,0.1,71.75 +/- 14.72,13.59 +/- 3.77,61.22 +/- 11.06,0.76135
BA-200,4,0.08,0.1,70.99 +/- 13.18,13.31 +/- 3.77,61.69 +/- 10.33,0.767505
BA-200,5,0.08,0.1,71.67 +/- 14.75,13.22 +/- 3.55,63.09 +/- 10.62,0.77574
BA-200,6,0.08,0.1,71.48 +/- 14.24,13.46 +/- 3.99,62.26 +/- 10.88,0.773865
BA-200,7,0.08,0.1,71.62 +/- 14.70,13.11 +/- 3.60,63.30 +/- 10.08,0.7815
BA-200,8,0.08,0.1,72.19 +/- 14.42,13.21 +/- 3.55,62.72 +/- 10.47,0.780535
BA-200,9,0.08,0.1,70.97 +/- 14.02,12.98 +/- 3.72,64.29 +/- 10.21,0.790815
BA-200,10,0.08,0.1,71.40 +/- 14.35,13.13 +/- 3.79,64.07 +/- 10.36,0.79215
BA-1000,0,0.08,0.1,86.95 +/- 12.90,12.27 +/- 1.75,294.24 +/- 24.70,0.7536819999999994
BA-1000,1,0.08,0.1,87.25 +/- 13.06,12.49 +/- 1.86,292.31 +/- 25.27,0.7558119999999999
BA-1000,2,0.08,0.1,86.95 +/- 13.24,12.35 +/- 1.76,295.87 +/- 25.63,0.760342
BA-1000,3,0.08,0.1,87.52 +/- 13.42,12.52 +/- 1.73,297.19 +/- 25.72,0.7653599999999993
BA-1000,4,0.08,0.1,88.36 +/- 13.83,12.41 +/- 1.70,299.23 +/- 24.22,0.7691089999999988
BA-1000,5,0.08,0.1,87.85 +/- 13.17,12.31 +/- 1.78,300.94 +/- 25.42,0.7727019999999999
BA-1000,6,0.08,0.1,87.52 +/- 13.77,12.32 +/- 1.78,303.83 +/- 23.84,0.7780089999999998
BA-1000,7,0.08,0.1,88.04 +/- 13.67,12.43 +/- 1.72,303.71 +/- 25.14,0.781602999999999
BA-1000,8,0.08,0.1,87.97 +/- 13.86,12.34 +/- 1.66,306.11 +/- 25.27,0.7857689999999992
BA-1000,9,0.08,0.1,87.80 +/- 13.45,12.30 +/- 1.67,308.41 +/- 24.82,0.7887570000000003
BA-1000,10,0.08,0.1,88.40 +/- 14.39,12.25 +/- 1.68,311.74 +/- 24.75,0.7946899999999993
BA-10000,0,0.08,0.1,109.14 +/- 12.66,11.94 +/- 0.81,2872.56 +/- 84.72,0.7519920000000002
BA-10000,1,0.08,0.1,110.35 +/- 11.96,11.84 +/- 0.76,2892.55 +/- 84.29,0.7565309999999998
BA-10000,2,0.08,0.1,109.70 +/- 11.72,11.91 +/- 0.69,2899.31 +/- 92.84,0.760873
BA-10000,3,0.08,0.1,110.16 +/- 13.13,11.89 +/- 0.85,2940.89 +/- 84.12,0.7670520000000001
BA-10000,4,0.08,0.1,110.67 +/- 13.94,11.95 +/- 0.77,2951.46 +/- 101.60,0.7709120000000002
BA-10000,5,0.08,0.1,112.11 +/- 13.36,11.91 +/- 0.87,2975.49 +/- 101.69,0.7746999999999998
BA-10000,6,0.08,0.1,110.18 +/- 11.46,11.83 +/- 0.69,2990.54 +/- 89.79,0.7795049999999998
BA-10000,7,0.08,0.1,112.76 +/- 12.35,11.96 +/- 0.72,2998.94 +/- 91.17,0.783187
BA-10000,8,0.08,0.1,110.72 +/- 13.14,11.81 +/- 0.81,3024.93 +/- 85.20,0.7868520000000001
BA-10000,9,0.08,0.1,111.42 +/- 13.52,11.77 +/- 0.63,3038.87 +/- 93.58,0.7901169999999997
BA-10000,10,0.08,0.1,108.35 +/- 12.71,11.83 +/- 0.66,3055.20 +/- 85.11,0.7930649999999997
